iter	Passed	Remaining
0	139	139336
1	140	69964
2	140	46804
3	141	35221
4	142	28287
5	142	23650
6	143	20333
7	144	17858
8	144	15930
9	145	14392
10	146	13136
11	146	12075
12	147	11182
13	147	10412
14	148	9745
15	149	9164
16	149	8656
17	150	8200
18	150	7795
19	151	7433
20	152	7098
21	152	6795
22	153	6517
23	153	6261
24	154	6025
25	155	5807
26	155	5606
27	156	5420
28	156	5249
29	157	5092
30	158	4940
31	158	4797
32	159	4662
33	159	4535
34	160	4415
35	160	4302
36	161	4195
37	161	4095
38	162	4000
39	162	3908
40	163	3822
41	163	3739
42	164	3662
43	165	3587
44	165	3515
45	166	3446
46	166	3380
47	167	3320
48	168	3261
49	168	3204
50	169	3148
51	169	3098
52	170	3046
53	171	2996
54	171	2948
55	172	2901
56	172	2856
57	173	2813
58	173	2775
59	174	2734
60	175	2694
61	175	2656
62	176	2619
63	176	2583
64	177	2548
65	177	2514
66	178	2481
67	178	2450
68	179	2420
69	180	2393
70	180	2363
71	181	2335
72	181	2307
73	182	2280
74	182	2253
75	183	2228
76	183	2203
77	184	2178
78	184	2155
79	185	2133
80	186	2113
81	186	2091
82	187	2067
83	187	2046
84	188	2026
85	188	2006
86	189	1986
87	189	1967
88	190	1948
89	190	1930
90	191	1913
91	192	1898
92	192	1880
93	193	1864
94	193	1847
95	194	1830
96	194	1815
97	195	1800
98	196	1785
99	197	1774
100	198	1763
101	198	1750
102	199	1737
103	200	1723
104	200	1710
105	201	1697
106	201	1684
107	202	1671
108	202	1658
109	203	1646
110	204	1634
111	204	1623
112	205	1611
113	205	1599
114	206	1587
115	206	1576
116	207	1564
117	207	1553
118	208	1542
119	208	1532
120	209	1525
121	210	1516
122	211	1506
123	211	1496
124	212	1487
125	213	1477
126	213	1467
127	213	1457
128	214	1448
129	215	1439
130	215	1431
131	216	1422
132	216	1413
133	217	1404
134	217	1396
135	218	1387
136	218	1379
137	219	1371
138	220	1363
139	220	1355
140	221	1347
141	221	1338
142	222	1330
143	222	1323
144	223	1315
145	223	1308
146	224	1301
147	224	1294
148	225	1287
149	225	1280
150	226	1273
151	227	1266
152	227	1260
153	228	1253
154	228	1247
155	229	1241
156	229	1234
157	230	1228
158	231	1221
159	231	1215
160	231	1208
161	232	1202
162	232	1196
163	233	1190
164	234	1184
165	234	1179
166	235	1173
167	235	1167
168	236	1162
169	236	1156
170	237	1150
171	238	1146
172	238	1140
173	239	1135
174	239	1131
175	240	1126
176	241	1121
177	241	1116
178	242	1112
179	243	1108
180	243	1103
